Company,URL,Sentiment,Polarity Score
ASML,https://www.euronews.com/business/2025/01/02/will-computer-chip-maker-asml-see-a-change-of-fortunes-in-2025,Extraction Failed,
ASML,https://markets.businessinsider.com/news/stocks/golden-goose-asml-in-danger-as-ai-boom-collides-with-trade-tariffs-1034599031,Extraction Failed,
ASML,https://ourbrand.asml.com/m/4911d1a455422b3f/original/Presentation-Investor-Relations-Q1-2025.pdf,Insufficient Content,
ASML,https://www.scmp.com/news/china/science/article/3308204/former-asml-head-scientist-lin-nan-drives-chinas-latest-euv-breakthrough,Positive,0.2666164117
ASML,https://www.scmp.com/news/china/diplomacy/article/3306481/dutch-exports-china-tumble-chip-machine-giant-asml-clears-back-orders-amid-us-bans,Neutral,0.098875
ASML,https://www.reuters.com/technology/dutch-chipmaker-asml-warns-tough-2025-ahead-2024-04-17/,Extraction Failed,
ASML,https://www.cnbc.com/2024/04/17/dutch-chip-giant-asml-reports-27percent-drop-in-net-sales.html,Extraction Failed,
ASML,https://www.wsj.com/articles/asml-reports-weaker-than-expected-q1-2025-earnings-as-chip-demand-softens-58d21a61,Extraction Failed,
ASML,https://asia.nikkei.com/Business/Tech/Semiconductors/ASML-sees-weakness-in-China-demand-amid-ongoing-tech-controls,Extraction Failed,
ASML,https://www.bloomberg.com/news/articles/2025-04-18/asml-faces-longer-challenges-in-china-us-tech-battle,Extraction Failed,
ASML,https://www.investing.com/news/company-news/asml-q1-2025-slides-strong-margins-amid-shifting-regional-demand-patterns-93CH-3987188,Extraction Failed,
ASML,https://www.euronews.com/business/2025/01/02/will-computer-chip-maker-asml-see-a-change-of-fortunes-in-2025,Neutral,0.01062934159
ASML,https://markets.businessinsider.com/news/stocks/golden-goose-asml-in-danger-as-ai-boom-collides-with-trade-tariffs-1034599031,Positive,0.1275430496
ASML,https://www.reuters.com/technology/dutch-chipmaker-asml-warns-tough-2025-ahead-2024-04-17/,Extraction Failed,
ASML,https://www.cnbc.com/2024/04/17/dutch-chip-giant-asml-reports-27percent-drop-in-net-sales.html,Extraction Failed,
ASML,https://www.wsj.com/articles/asml-reports-weaker-than-expected-q1-2025-earnings-as-chip-demand-softens-58d21a61,Extraction Failed,
ASML,https://asia.nikkei.com/Business/Tech/Semiconductors/ASML-sees-weakness-in-China-demand-amid-ongoing-tech-controls,Extraction Failed,
ASML,https://www.bloomberg.com/news/articles/2025-04-18/asml-faces-longer-challenges-in-china-us-tech-battle,Extraction Failed,
ASML,https://www.scmp.com/news/china/science/article/3308204/former-asml-head-scientist-lin-nan-drives-chinas-latest-euv-breakthrough,Positive,0.2666164117
ASML,https://www.youtube.com/watch?v=UvnhLZi-f_A,Positive,0.223109063
ASML,https://www.youtube.com/watch?v=dlrAzENPNRw,Positive,0.05751386202
ASML,https://www.youtube.com/watch?v=jt7atCIoV8g,Positive,0.1416976705
Foxconn,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/1562,Positive,0.1404164382
Foxconn,https://mexicobusiness.news/automotive/news/foxconn-drives-growth-semiconductors-ai-4q24,Positive,0.1904978355
Foxconn,https://spectrumlocalnews.com/us/national/technology/2025/04/14/nvidia-ai-chips-u-s--manufacturing-semiconductor-tariffs,Extraction Failed,
Foxconn,https://restofworld.org/2025/china-foxconn-factoriesfoxconn-stops-sending-chinese-workers-to-india-iphone-factories/,Positive,0.1620011806
Foxconn,https://www.foxconn.com/en-us/press-center/media-center?category=factoriesOverseas,Neutral,0
Foxconn,https://www.asiatechreview.com/p/china-obstructs-indias-manufacturing,Neutral,0.09285778624
Foxconn,https://www.scmp.com/tech/big-tech/article/3306471/chinas-largest-iphone-factory-resumes-hiring-after-trump-spares-electronics-tariffs,Neutral,0.0678326373
Foxconn,https://www.nytimes.com/2024/12/26/business/foxconn-apple-texas-expansion.html,Neutral,-0.008533060011
Foxconn,https://markets.businessinsider.com/news/stocks/foxconn-shines-in-tech-slump-but-tariff-threats-loom-1034553255,Positive,0.1613434454
Foxconn,https://www.foxconn.com/en-us/press-center/press-releases/latest-news/1554,Positive,0.1886358128
Foxconn,https://forums.appleinsider.com/discussion/237901/tensions-escalate-as-china-arrests-foxconn-staff-at-key-apple-factory,Neutral,0.07561237374
Foxconn,https://www.ainvest.com/news/taiwan-s-foxconn-navigating-tariffs-with-global-manufacturing-24111010f4939e3ac7fbee87/,Positive,0.1361405724
Foxconn,https://restofworld.org/2025/china-foxconn-factoriesfoxconn-stops-sending-chinese-workers-to-india-iphone-factories/,Positive,0.1620011806
Foxconn,https://www.asiatechreview.com/p/china-obstructs-indias-manufacturing,Neutral,0.09285778624
Foxconn,https://www.scmp.com/tech/big-tech/article/3306471/chinas-largest-iphone-factory-resumes-hiring-after-trump-spares-electronics-tariffs,Neutral,0.0678326373
Foxconn,https://markets.businessinsider.com/news/stocks/foxconn-shines-in-tech-slump-but-tariff-threats-loom-1034553255,Positive,0.1613434454
Foxconn,https://mexicobusiness.news/automotive/news/foxconn-drives-growth-semiconductors-ai-4q24,Positive,0.1904978355
Foxconn,https://www.youtube.com/watch?v=g0K9hfd570o,Neutral,0.00334038055
Foxconn,https://www.youtube.com/watch?v=hwBjwwIPyzk,Positive,0.06312531242
Samsung,https://semiconductor.samsung.com/foundry/manufacturing/,Extraction Failed,
Samsung,https://semiconsam.substack.com/p/samsung-securities-2025-semiconductor,Neutral,0.0267882854
Samsung,https://koreajoongangdaily.joins.com/2021/12/29/business/tech/Samsung-Electronics-Xian/20211229181523222.html,Extraction Failed,
Samsung,https://news.samsung.com/global/update-on-the-situation-in-xian-china,Positive,0.495
Samsung,https://news.samsung.com/global/samsung-electronics-announces-fourth-quarter-and-fy-2024-results,Neutral,0.04095296247
